timestamp,RPM,LOAD,MAF,MAP,IAT,STFT,LTFT,COOLANT,O2_V,VE
1786868247.060742,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.1357803,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.1660888,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.216731,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.268349,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.3207912,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.3724272,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.4242713,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.4760656,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.5285885,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.5803127,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.631751,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.6817145,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.731326,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.7815075,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.8319101,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.881258,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.931435,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868247.9815361,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.031405,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.081841,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.131,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.1816137,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.231654,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.28151,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.331625,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.3813136,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.4318867,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.481611,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.5310884,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.5812342,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.6309679,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.6818562,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.7318597,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.781601,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.8312864,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.881854,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.9314737,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868248.9818118,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.0317304,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.0809264,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.1316059,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.1815596,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.2310686,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.281061,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.3311632,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.381051,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.4316478,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.48134,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.5310926,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.5816903,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.6319034,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.6809442,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.7318246,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.7811048,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.8311648,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.8809285,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.9309971,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868249.98138,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.0313437,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.0812545,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.1310303,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.1812174,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.2309382,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.281122,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.3317425,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.381378,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.4316103,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.481608,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.5314386,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.5811267,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.6309383,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.681098,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.7317016,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.781172,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.864858,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.8813581,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.9428916,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868250.9813662,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.0311787,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.0932662,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.134157,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.1815403,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.2318122,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.2916834,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.336197,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.3817763,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.431234,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.481732,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.5317683,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.5813608,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.6784465,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.6942577,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.7314553,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.7809653,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.83144,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.881651,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.9316409,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868251.9813974,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.031411,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.0814426,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.1319056,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.1814783,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.2315345,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.2816248,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.3316083,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.4214742,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.4514015,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.4817698,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.530935,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.581156,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.6545622,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.681338,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.7317562,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.781352,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.8312032,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.8817363,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868252.9314084,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.0009751,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.0412567,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.0812593,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.1317286,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.1809692,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.2314599,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.2817652,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.3318179,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.3811018,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.43155,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.4816327,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.5318887,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.5814164,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.6545656,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.6929,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.7312462,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.7811835,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.8327765,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.8809881,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868253.9312463,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.0351007,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.0833488,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.1315649,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.1811013,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.2314298,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.281944,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.3316033,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.3814814,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.4315636,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.4816246,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.5316024,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.581438,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.631659,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.6812563,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.7319129,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.7815464,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.831831,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.8818765,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.9314716,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868254.981456,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.0314136,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.0810142,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.1315322,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.1812272,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.2668138,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.2956161,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.331735,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.3815808,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.4315069,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.4817123,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.5425026,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.5809267,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.631244,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.6814997,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.7319248,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.781529,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.831314,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.8814921,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.931537,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868255.9811182,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.031102,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.0816212,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.1312633,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.1815941,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.2316916,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.2814379,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.342534,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.3812714,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.4316475,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.4816482,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.53145,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.58179,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.6770442,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.68255,0,0,0,101.3,25.0,0,0,0,0.0,0.0
1786868256.731365,0,0,0,101.3,25.0,0,0,0,0.0,0.0
